softmax prob,Overlap,Err
[0.12050402 0.20320417 0.67629176],0.0027825608762265036,0.0015398240745250142
[0.01494232 0.5840764  0.40098134],0.012531070556616028,0.005310231017708104
[0.01981056 0.0294785  0.9507109 ],8.56262020341783e-06,3.695675741465267e-06
[0.5675305  0.04377702 0.38869247],0.0213801213051069,0.017441050294111315
[0.1253286  0.08349428 0.7911771 ],0.0004848667351293671,0.0002766489222670735
[0.0121803  0.02032858 0.96749115],1.7461727748088074e-06,2.7759830041824506e-08
[0.35994136 0.01801389 0.62204474],0.010656484094344344,0.004338931044480778
[0.20679462 0.01533715 0.7778682 ],0.0011891487548166572,0.0005376900742257777
[0.13316469 0.14696205 0.71987325],0.01003049468284134,0.012277718062772865
[0.01340716 0.02487839 0.96171445],2.269039021761276e-06,3.7869971005230103e-07
[0.01843669 0.3312971  0.6502663 ],0.0004162612737684394,0.000270011091977645
[0.01400107 0.01573274 0.97026616],1.7105773891295639e-06,1.8049593072034278e-08
[0.01663968 0.62509537 0.35826495],0.010787094634615215,0.005993173498610206
[0.22771639 0.04368792 0.72859573],0.0013962801954820526,0.0010332999614816386
[0.02864671 0.0183587  0.9529946 ],3.854774685567347e-06,8.740909752415808e-07
[0.02637579 0.408753   0.5648712 ],0.004871308307572868,0.0021687374412438193
[0.03945099 0.05257687 0.9079722 ],2.055499642386133e-05,7.063320528514655e-06
[0.01733176 0.01676577 0.96590245],5.853319223144998e-06,5.012037116411929e-06
[0.08152876 0.14957072 0.7689005 ],0.0009035005152526099,0.000698622727913406
[0.3658817 0.0287766 0.6053417],0.00985665709731502,0.006217263633806959
[0.02782315 0.02551883 0.9466581 ],7.806131809389657e-06,2.9370584964081623e-06
[0.00980584 0.92542976 0.06476441],1.0226761101485072e-05,5.176199191160828e-06
[0.05712681 0.25257525 0.6902979 ],0.0013422974439247504,0.0002971862396111293
[0.1196726 0.047151  0.8331764],4.860096098990372e-05,3.553358586574738e-05
[0.05694982 0.08597417 0.85707605],0.0001526800193860972,0.00010359257022271659
[0.05308253 0.37967485 0.5672427 ],0.0022617406455929796,0.0024082212108257873
[0.05642773 0.08125459 0.86231774],8.255670692246149e-05,5.784265571728039e-05
[0.04667094 0.07386456 0.87946445],0.0001732764490907821,0.00016025827887921276
[0.15742564 0.00791761 0.8346567 ],0.00031845806821822895,0.0005621358428742868
[0.02627366 0.04243081 0.9312955 ],1.271834682286052e-05,1.1115395601015411e-05
[0.00814208 0.96965426 0.02220372],1.8105277539921107e-06,2.2951050644311947e-07
[0.12387662 0.04019348 0.8359299 ],0.00023397376176987112,0.00031130749330538664
[0.87294984 0.01002272 0.11702745],1.277332373253574e-05,1.8720997794365947e-05
[0.90221816 0.01338888 0.08439288],8.466008388692036e-06,7.753778016997386e-06
[0.33833948 0.03455664 0.62710387],0.005512496100742824,0.0035106204067428272
[0.33081195 0.03755336 0.63163465],0.0029610838504812356,0.0009251207955599844
[0.03182282 0.0284728  0.9397043 ],6.17870928140153e-06,4.343482013363152e-06
[0.04847632 0.0804752  0.8710485 ],1.96539797072387e-05,1.2556282622050083e-05
[0.01983135 0.02950099 0.9506677 ],2.8496914493285296e-06,5.074125305355888e-07
[0.01315238 0.610794   0.3760536 ],0.005745045046479114,0.0050104659873139055
[0.03700949 0.05852439 0.9044661 ],7.561949222449449e-06,4.56368529468023e-06
[0.34298363 0.05483506 0.60218126],0.005399915429743923,0.0022996708133661862
[0.5075915 0.0145697 0.4778388],0.0064089540052899505,0.0064103486014662195
[0.01594627 0.01424834 0.96980536],1.7506823426732139e-06,2.5771315807929212e-08
[0.05256607 0.13875432 0.8086796 ],0.0003267472682521445,0.00012594801795417379
[0.40336394 0.04959965 0.54703647],0.003522062386429508,0.005608958585600323
[0.02826581 0.04987269 0.9218615 ],1.0768735243625923e-05,3.934634276092078e-06
[0.01021634 0.04623511 0.94354856],5.635540066393171e-06,3.5480378893637162e-06
[0.04798694 0.01739454 0.93461853],4.8462499102211445e-06,3.4983589049408324e-06
[0.02182246 0.43739218 0.5407854 ],0.006108326327401475,0.0026672661901775757
[0.13882822 0.17353815 0.6876336 ],0.004172372920964427,0.002015431557953667
[0.03884222 0.01202764 0.9491302 ],3.3319684197489194e-06,1.8644828286362114e-06
[0.02412746 0.0208571  0.9550154 ],3.0732758232693518e-06,1.2332403369829003e-06
[0.02514189 0.021866   0.9529921 ],3.239372691174521e-06,1.1770151260264782e-06
[0.05179422 0.01147454 0.9367312 ],2.996543532626957e-06,8.921526264973672e-07
