OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,dr8_id,err_r,petroR50_r,petroR50Err_r
587727225154895967,00:14:56.02,-10:58:20.5,25,0.24,0.0,0.2,0.2,0.0,0.36,0.4,0.173,0.454,0,0,1,267372_2554,0.004819384,3.330473,0.021214
587727225155289182,00:18:48.83,-10:58:34.6,53,0.623,0.075,0.0,0.113,0.113,0.075,0.189,0.502,0.29,0,0,1,267376_2938,0.00588912,1.588222,0.025884
587727225155485787,00:20:26.46,-10:58:30.7,28,0.75,0.036,0.0,0.107,0.107,0.0,0.143,0.739,0.154,0,0,1,267378_2500,0.007098998,1.094498,0.014274
587727177915105455,00:23:14.12,-11:03:42.4,24,0.417,0.042,0.125,0.375,0.042,0.0,0.542,0.078,0.861,1,0,0,267380_1160,0.009224801,2.25639,0.033673
587727177915105449,00:23:07.40,-11:04:41.3,54,0.167,0.648,0.0,0.167,0.0,0.019,0.815,0.078,0.902,1,0,0,267380_870,0.00860804,3.925977,0.044352
587727225155813469,00:23:47.99,-10:58:23.0,29,0.759,0.0,0.0,0.103,0.138,0.0,0.103,0.721,0.139,0,0,1,267381_2675,0.006487992,1.517,0.01524
587727177915105468,00:23:33.14,-11:04:46.3,29,0.345,0.172,0.0,0.414,0.069,0.0,0.586,0.159,0.761,0,0,1,267381_759,0.006515427,4.324702,0.034625
587727177915236426,00:24:30.81,-11:05:05.7,49,0.327,0.102,0.02,0.531,0.02,0.0,0.653,0.2,0.778,1,0,0,267382_758,0.004607633,2.770536,0.028129
587727177915367549,00:25:41.54,-11:04:53.3,28,0.464,0.107,0.107,0.214,0.107,0.0,0.429,0.129,0.713,0,0,1,267383_1057,0.007370674,2.540103,0.036708
587727177915367567,00:25:53.64,-11:05:23.2,33,0.576,0.03,0.03,0.273,0.091,0.0,0.333,0.367,0.523,0,0,1,267383_805,0.006353578,1.363731,0.016644
587727225156206674,00:27:15.91,-11:01:40.1,30,0.767,0.0,0.033,0.1,0.033,0.067,0.133,0.381,0.413,0,0,1,267384_1950,0.008615568,1.866212,0.042593
587727177915433109,00:26:35.61,-11:06:43.1,34,0.882,0.0,0.0,0.088,0.029,0.0,0.088,0.653,0.299,0,0,1,267384_277,0.00855006,1.70028,0.0231
587727225156141240,00:26:34.74,-10:59:17.9,38,0.158,0.026,0.053,0.763,0.0,0.0,0.842,0.02,0.98,1,0,0,267384_2838,0.010127,2.542228,0.04563
587727225156141185,00:26:44.65,-10:58:50.5,62,0.516,0.0,0.177,0.21,0.065,0.032,0.387,0.151,0.697,0,0,1,267384_2979,0.008978204,1.928369,0.022259
