Unnamed: 0,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,dr8_id
3968,587727178460627039,01:43:25.66,-10:03:29.7,44,0.045,0.886,0.0,0.023,0.045,0.0,0.909,0.013,0.94,1,0,0,273127_1933
4007,587727178461282360,01:49:31.40,-09:55:50.4,33,0.0,0.939,0.0,0.061,0.0,0.0,1.0,0.0,1.0,1,0,0,273134_6240
4048,587727178462199976,01:58:29.79,-09:54:38.1,31,0.065,0.903,0.032,0.0,0.0,0.0,0.935,0.015,0.985,1,0,0,273142_6335
4195,587726877274603545,22:38:45.62,-10:01:21.2,59,0.051,0.847,0.0,0.017,0.017,0.068,0.864,0.04,0.875,1,0,0,274365_1731
4235,587730816290848832,22:52:54.20,-10:05:24.2,60,0.0,0.967,0.017,0.0,0.0,0.017,0.983,0.0,0.983,1,0,0,274379_964
4270,587726877813965127,23:01:54.15,-09:57:21.4,25,0.0,0.96,0.0,0.04,0.0,0.0,1.0,0.0,1.0,1,0,0,274388_2517
4299,587726877814882516,23:10:54.50,-10:01:09.4,37,0.0,0.973,0.0,0.027,0.0,0.0,1.0,0.0,1.0,1,0,0,274397_1673
4739,587727226767212721,00:31:11.27,-09:42:07.0,58,0.0,0.966,0.0,0.034,0.0,0.0,1.0,0.0,1.0,1,0,0,274476_2779
4957,587727179530436738,01:07:03.17,-09:39:49.7,58,0.034,0.948,0.0,0.017,0.0,0.0,0.966,0.03,0.97,1,0,0,274512_3678
5041,587727226235912292,01:22:28.66,-09:46:32.0,30,0.0,0.867,0.0,0.1,0.0,0.033,0.967,0.0,0.967,1,0,0,274527_2279
5045,587727226235912294,01:22:29.00,-09:40:45.1,40,0.025,0.85,0.025,0.1,0.0,0.0,0.975,0.007,0.993,1,0,0,274527_4323
5073,587727226236239928,01:25:53.89,-09:38:44.8,30,0.033,0.967,0.0,0.0,0.0,0.0,0.967,0.033,0.967,1,0,0,274530_4610
5110,587727178996318332,01:32:47.75,-09:47:40.1,30,0.0,0.967,0.0,0.033,0.0,0.0,1.0,0.0,1.0,1,0,0,274537_2427
5195,587727229986078786,01:45:46.68,-09:44:34.2,52,0.096,0.865,0.0,0.019,0.019,0.0,0.885,0.084,0.897,1,0,0,274550_3672
5252,587727229986996271,01:54:42.72,-09:46:58.6,49,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,274559_3254
5261,587727229987192943,01:56:22.02,-09:45:07.0,57,0.088,0.86,0.018,0.018,0.0,0.018,0.895,0.024,0.957,1,0,0,274560_3899
5263,587727229987192931,01:56:19.29,-09:41:46.7,37,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,274560_5727
5300,587727178463051957,02:06:14.33,-09:47:43.5,25,0.0,0.96,0.0,0.04,0.0,0.0,1.0,0.0,1.0,1,0,0,274570_2569
5340,587727177927426143,02:17:52.45,-09:47:54.1,28,0.0,0.929,0.071,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,274581_1998
5530,587730816289669238,22:41:47.92,-09:44:37.1,34,0.029,0.882,0.0,0.088,0.0,0.0,0.971,0.007,0.993,1,0,0,275788_2563
5652,587730816829358339,23:08:26.69,-09:47:00.5,24,0.042,0.875,0.0,0.083,0.0,0.0,0.958,0.014,0.986,1,0,0,275815_1572
5681,587726878352015499,23:13:12.99,-09:44:48.5,29,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,275819_2632
5701,587727179518771333,23:18:37.73,-09:38:07.8,33,0.121,0.879,0.0,0.0,0.0,0.0,0.879,0.036,0.964,1,0,0,275825_4182
5704,587727874767847677,23:19:52.18,-09:52:11.9,24,0.083,0.833,0.0,0.042,0.042,0.0,0.875,0.025,0.931,1,0,0,275826_75
5819,587727179521392803,23:43:13.72,-09:47:38.7,60,0.067,0.817,0.017,0.1,0.0,0.0,0.933,0.057,0.943,1,0,0,275849_1537
5914,587727180060688540,00:05:49.16,-09:32:37.3,57,0.053,0.912,0.0,0.0,0.018,0.018,0.912,0.006,0.958,1,0,0,275871_1548
5917,587727226764460180,00:05:31.73,-09:35:01.3,26,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,275871_307
5936,587727226765049986,00:11:00.16,-09:37:28.2,28,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,275876_21
5952,587727226765508728,00:15:16.43,-09:35:56.9,33,0.061,0.818,0.03,0.0,0.0,0.091,0.848,0.011,0.894,1,0,0,275881_429
5972,587727180062064786,00:18:14.32,-09:23:14.8,37,0.0,0.946,0.0,0.054,0.0,0.0,1.0,0.0,1.0,1,0,0,275884_4187
6014,587727180063113363,00:28:17.87,-09:29:34.3,34,0.0,0.971,0.0,0.029,0.0,0.0,1.0,0.0,1.0,1,0,0,275893_2239
6121,587727180064751731,00:43:14.00,-09:28:43.2,59,0.068,0.831,0.0,0.068,0.034,0.0,0.898,0.061,0.905,1,0,0,275908_2582
6405,587727179533647971,01:36:33.93,-09:23:49.2,30,0.0,0.967,0.033,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,275961_6560
6407,587727230522032238,01:37:22.00,-09:33:31.7,32,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,275962_2171
6430,587727179533910124,01:39:24.88,-09:24:04.2,21,0.0,0.952,0.0,0.048,0.0,0.0,1.0,0.0,1.0,1,0,0,275964_6521
6431,587727179534041213,01:40:14.49,-09:22:58.9,56,0.054,0.821,0.018,0.071,0.018,0.018,0.911,0.033,0.931,1,0,0,275964_7186
