softmax prob,Overlap,Err
[0.46079147 0.01772078 0.5214877 ],[0.00028108 0.02560796 0.00770216],[0.00079502 0.07243024 0.02178498]
[0.01536105 0.01478429 0.9698547 ],[6.37162280e-02 1.99113113e-07 1.97644955e-07],[1.80216707e-01 5.63176930e-07 5.59024353e-07]
[0.05206562 0.12871797 0.8192164 ],[4.32446082e-02 3.19001981e-05 5.74857857e-04],[1.22314223e-01 9.02273857e-05 1.62594356e-03]
[0.4089748  0.04168118 0.54934406],[6.64180376e-02 1.51758688e-04 2.69007927e-05],[1.87858579e-01 4.29238391e-04 7.60869318e-05]
[0.02349243 0.05376604 0.92274153],[6.96285481e-02 1.35251161e-06 9.10530689e-07],[1.96939274e-01 3.82548054e-06 2.57536970e-06]
[0.01095186 0.0387546  0.95029354],[6.27264575e-02 1.26474908e-06 4.88959547e-06],[1.77417214e-01 3.57725060e-06 1.38298645e-05]
[0.04478807 0.01649142 0.93872046],[6.42299984e-02 3.13661920e-07 4.19160178e-07],[1.81669870e-01 8.87169883e-07 1.18556402e-06]
[0.0217276  0.42884132 0.5494311 ],[0.00911261 0.00058544 0.03261043],[0.02577434 0.00165587 0.09223623]
[0.16289243 0.16076414 0.6763434 ],[0.07762771 0.00075046 0.00217847],[0.21956433 0.00212262 0.00616163]
[0.0399567  0.0111524  0.94889086],[6.36714032e-02 2.35375065e-07 2.13321349e-07],[1.80089924e-01 6.65741218e-07 6.03363891e-07]
[0.02577871 0.02414857 0.9500727 ],[6.42733410e-02 2.20028845e-07 2.17705372e-07],[1.81792461e-01 6.22335554e-07 6.15763780e-07]
[0.02230928 0.0188793  0.95881134],[6.47560276e-02 4.89098288e-07 8.82239146e-07],[1.83157705e-01 1.38337886e-06 2.49534913e-06]
[0.05556342 0.01245228 0.9319843 ],[6.19209574e-02 3.73476635e-07 2.40012380e-07],[1.75138915e-01 1.05635145e-06 6.78857525e-07]
